tid,ra,dec,st_pmra,st_pmdec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
88863718,122.580465,-5.513852,-4.956,-15.555,1.9316462,3.166,1286.0,11.2154,44464.5,4045.0,9.42344,295.862,7070.0,4.03,2.01
65212867,112.752393,-4.463359,0.357,3.399,6.9989206,3.953,2840.0,14.7752,448.744,1282.0,8.87759,283.291,6596.0,3.71,2.7
107782586,111.667845,-24.462111,-3.297,4.849,1.9600277,2.0065257,1707.6272693,,1063.3422958,1456.4246534,8.4331,866.147,8868.7,,
114018671,113.984761,-32.841999,145.102,-134.901,2.4704981,2.191,250.0,1.44656,575.597,1364.0,8.2388,52.62,5413.7,4.46,0.94
427508467,117.095285,6.785064,-2.99,-0.029,0.884182,1.621,1890.0,24.8132,112144.0,5098.0,8.12718,295.959,8928.0,3.92,2.72
341420329,120.147994,-54.878552,-11.732,2.586,5.2341008,3.7078139,20796.9416293,24.2931408,1453.6663847,1574.8381848,10.6348,399.544,7645.0,4.3,1.56203
297967252,142.521159,-51.517114,-19.153,11.046,9.6837921,2.4006056,4238.2399008,,3176.3106916,1914.698926,5.5324,129.838,8598.7,,
20318757,167.133275,-29.653135,-87.554,12.992,3.2834565,1.537,1558.0,2.87648,161.092,992.0,10.2103,56.3449,4272.0,4.6,0.68
20318757,167.133275,-29.653135,-87.554,12.992,11.02875,2.715,1694.0,2.76586,15.0463,548.0,10.2103,56.3449,4272.0,4.6,0.68
20318757,167.133275,-29.653135,-87.554,12.992,5.0113292,1.024,1210.0,2.52314,17.1793,567.0,10.2103,56.3449,4272.0,4.6,0.68
146589986,159.221506,-42.541639,-15.15,6.437,5.6643704,3.8087395,3491.8232968,14.7738943,7657.6621505,2385.8536488,9.7611,587.196,10395.0,4.13,2.3383701
361413119,144.150273,-61.583182,-9.506,16.897,6.0744477,2.4954821,5982.5212406,30.9493217,1487.5644344,1583.9398898,10.1126,347.556,5964.0,3.7,2.4303801
146172354,157.867112,-42.240448,10.992,-57.748,3.7795212,2.952,2761.0,5.98375,466.528,1294.0,10.2855,184.015,5771.0,4.31,1.18
461867584,149.688545,-58.760453,-6.434,4.098,4.420125,3.956,2466.0,,,,8.5483,2864.34,,,
360286627,141.975215,-61.33004,-11.595,3.139,0.758082,1.8184632,583.93181,10.1273702,216218.1005011,5499.7476332,9.718,792.633,9917.0,3.75,3.5086601
463402815,153.811023,-58.766393,-14.441,6.214,1.0085089,1.642,3051.0,,,,10.0031,494.689,5215.2,,
421894914,339.258703,-76.917605,9.716,-20.168,5.3079507,3.2158594,391.3830934,3.0486928,603.2401116,1263.9861129,9.6663,168.354,6124.3,4.38,1.36963
323132914,127.996917,-78.407564,117.721,-24.565,51.1701501,6.6641048,851.4547808,2.9366826,11.2148229,466.7322968,9.4091,98.2855,5599.0,4.46138,0.943356
31553893,288.911772,-31.790813,3.226,-16.323,11.1296441,7.0473822,951.6169809,12.8402271,1255.6817164,1518.2372485,9.3781,338.831,5785.0,4.344,3.4475601
380783252,269.714503,-60.922727,4.297,-207.409,9.4496506,2.021,19750.0,17.0216,38.5799,694.0,9.7825,98.8783,5509.0,4.39758,0.94
101230735,299.290995,-48.934476,2.224,-14.604,2.0685633,0.373,502.0,3.89739,24.409,619.0,9.6652,128.491,5687.9,4.6,1.14
406976746,230.555493,-83.056214,-89.125,-9.6,10.0665238,2.4023189,839.9044871,2.7272824,54.8791715,694.1792631,9.0689,61.1201,5552.0,4.61783,0.791742
327301957,310.761004,-72.010267,20.031,42.175,13.9428705,3.7522756,1015.395543,2.4233421,28.0927293,587.1759148,10.6339,107.356,5206.0,4.63095,0.741671
369960846,173.810798,-88.096213,-22.788,9.977,1.6062693,1.9561305,16725.3019333,12.6436029,844.2700581,1374.8018137,13.461,463.683,5192.0,4.4617,0.984326
