tfopwg_disp,ra,dec,st_pmra,st_pmdec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
0,112.357708,-12.69596,-5.964,-0.076,2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,9.604,485.735,10249.0,4.19,2.16986
0,104.726966,-10.580455,-1.462,-2.249,1.8675574,1.408,1500.0,23.7529,2860.61,2037.0,9.299501,943.109,8924.0,,5.73
0,110.559945,-25.207017,-0.939,1.64,2.74323,3.167,383.41,,1177.36,1631.0,9.3003,7728.17,5388.5,4.15,
0,122.178195,-48.802811,-4.496,9.347,3.5730141,3.37,755.0,11.3113,54679.3,4260.0,9.1355,356.437,9219.0,4.14,2.15
0,120.704811,-11.101521,-26.932,-2.901,4.5505945,2.654,3731.0,7.10841,414.775,1257.0,9.1309,100.711,5613.0,,1.09
0,124.359239,-27.273521,-29.1,-6.8,2.5047918,4.3797563,2270.5402194,8.6950898,1750.932635,1649.8220699,9.2386,,6616.0,,1.53429
0,109.382839,13.395219,-17.9,1.3,2.0483755,2.767,483.0,3.19621,5644.4,,8.9362,144.297,6858.5,4.2,1.57
1,318.737012,-55.871863,12.641,-16.011,1.4303699,1.6165994,18960.7122944,13.1874503,1281.2408254,1525.9048089,12.4069,375.31,5600.0,4.48851,0.890774
0,112.293981,-21.832912,-5.746,4.502,0.6808702,2.4634563,1507.8006889,5.9115908,87140.6995884,4382.0266062,8.45086,485.122,9438.0,,1.0
0,107.286063,-31.933523,-3.973,7.061,5.4255548,3.9637474,14939.6342222,,273.5880696,1037.2753045,7.6095,510.295,8868.7,,
0,103.561602,-34.22282,-13.063,9.737,1.4095184,0.9484999,2841.5103258,,1650.422071,1625.6180218,7.678,224.672,9307.0,,
0,122.895964,-27.971896,1.566,-17.974,1.3730466,2.5708515,1301.5065338,42.1479417,3160.6328329,1912.3318636,10.7069,906.496,4897.0,,6.7996101
0,116.110771,-36.098285,-9.231,11.614,12.6889415,7.9201001,3232.8527885,14.0608342,425.1594177,1158.1310368,10.6257,368.646,7601.0,4.31,1.53641
0,124.726411,-37.78325,-11.278,9.593,1.10422,2.37,14177.7,21.0448,39459.3,3926.0,10.6019,406.997,6995.2,4.07,1.61
0,111.716019,-50.266567,-8.018,11.56,4.95912,2.509,7440.0,22.9123,673.55,1419.0,10.6254,360.541,5889.0,3.86,2.0
1,87.139821,-63.988329,-15.641,26.046,4.4119378,3.65,15062.0,15.4706,653.252,1408.0,9.7109,175.631,6280.0,4.32092,1.21
0,128.381976,-43.828421,-5.814,4.328,3.28892,3.793,10518.9,,29832.6,3661.0,10.7173,906.827,8734.2,4.1,
0,119.30075,-42.999149,-3.211,-15.082,1.90879,1.909,618.482,3.34688,985.807,1561.0,10.5551,235.974,6022.6,4.52,1.22
0,162.96491,-5.788708,-15.787,-11.849,3.09574,4.475,380.0,3.4262,18087.9,3230.0,8.72924,120.666,6084.0,4.13,1.41
0,120.837688,-51.345626,-23.366,22.652,1.3214483,3.435,2180.0,21.8839,35623.2,3827.0,9.697,316.398,5050.8,3.56,2.99
0,86.820714,-72.422611,1.128,11.563,18.0157,2.524,610.0,21.644,7.64364,463.0,10.0814,692.266,4709.0,,7.61
0,125.434634,-51.759442,47.228,-6.325,14.2628757,6.9350494,913.2067174,2.4765813,153.2069421,980.3628831,9.9138,105.677,5690.0,4.58,0.853898
0,157.098337,-51.705409,30.65,-33.906,1.01606,2.843,240.0,1.20704,2784.04,2023.0,7.9059,23.7748,4634.0,4.64,0.68
0,88.73909,-65.958839,,,36.22214,5.107,7170.0,,,,6.841,,,,
1,312.457488,-24.428694,10.426,15.62,3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,11.5232,411.211,6351.0,4.22896,1.4
0,155.831478,-57.590248,-26.184,22.489,12.1246519,4.612,7279.0,17.6729,207.32,1057.0,9.5706,78.41273,4807.6,4.17,1.07
0,140.88389,-67.026006,-23.901,3.03,5.652623,3.434,1250.0,8.94354,2717.06,2011.0,9.7318,270.771,6415.4,3.98,1.92
0,87.282586,-60.498444,8.9,20.7,29.0160175,5.345,1389.0,6.77406,33.2234,,10.0163,219.94,6113.1,,2.01
0,134.441752,-49.000578,-4.837,4.109,3.6404389,2.5339234,476.3077321,3.7025342,9941.2265514,2783.098027,9.8174,363.44,9810.0,4.43,1.60776
0,147.385172,-63.306478,-19.687,10.953,1.2025238,1.991,390.0,6.31106,208477.0,5952.0,9.0211,279.698,9158.0,4.32,1.74
0,128.454638,-49.940347,-15.5,7.0,3.2235985,2.159,680.0,5.51341,2064.8,,8.7157,280.765,8904.0,4.09,2.17
1,319.949697,-58.148933,10.552,-10.658,4.0872956,5.586113,3572.1712499,13.6237732,2242.3605401,1755.0767383,9.8638,316.678,6036.0,3.93359,2.2186699
0,128.61421,-61.488262,-11.78,6.725,2.55555,1.566,340.0,11.5901,3520.68,2145.0,8.3854,732.432,10037.0,,6.04
0,138.402252,-55.19791,-14.189,14.261,8.30792,3.228,8350.0,43.1068,2276.25,1924.0,8.0981,305.034,9081.0,3.83,3.05
0,128.302319,-52.714202,-9.496,14.659,1.4415577,2.349,507.0,3.61078,16861.8,3174.0,9.5719,208.055,6902.0,4.25,1.52
0,159.887704,-32.51188,-34.609,14.667,3.7039994,4.277,7590.0,17.57,3546.13,2149.0,9.6306,300.696,7013.8,4.21,1.9
0,126.419468,-60.907514,-1.536,-9.979,1.3042553,1.706,914.0,9.36472,26944.7,3569.0,10.0119,301.298,6762.0,4.11,1.75
0,144.581535,-67.505097,-35.412,24.084,0.62627,0.666,1880.0,5.72162,3235.57,2101.0,10.2355,134.926,5622.0,4.5,0.93
0,136.527702,-54.903922,-10.863,7.063,0.30412,0.748,1330.0,10.417,280833.0,6413.0,8.802,440.426,11892.0,4.14,2.52
1,253.768848,-28.710584,-8.568,-5.562,2.1805277,2.969175,16340.1353205,16.808853,1770.4650539,1654.404068,11.0657,314.995,6599.0,4.21017,1.2714601
1,337.457824,-48.003099,91.976,-6.861,2.1846669,2.86528,11708.0228549,13.7028527,1362.1381428,1549.4409801,9.4995,137.544,5630.0,4.37759,1.23824
1,239.962248,-28.061794,-8.1,-9.639,3.7354838,4.142,17030.0,21.2315,1292.19,1670.0,11.0261,405.908,6650.0,4.1639,1.57
0,40.365939,-71.462749,168.17,-56.04,21.701669,8.2676424,211.6567325,2.3751494,52.095,685.2,7.1278,53.19149,5625.0,4.438,1.56486
1,337.510274,-75.646561,-63.327,-1.942,9.139804,3.0912936,358.4157801,3.0629855,243.011763,1006.9932829,9.0197,129.804,5958.2,4.34,1.58
0,290.977117,-33.351416,-18.692,-8.192,5.742625,2.860293,1105.760867,13.088532,,,8.8849,263.729,5664.0,3.26574,3.86959
1,302.114174,-54.317501,1.594,-15.903,15.5077855,4.565,513.0,2.43432,88.0718,853.0,8.4362,88.4343,6122.0,4.30881,1.17
1,293.286615,-54.532728,108.439,-82.632,17.4713078,4.4284819,1199.7541483,3.5766828,53.3700317,689.3568807,8.0888,57.2651,5783.54,4.49925,0.974669
1,68.959816,-64.027039,10.845,-0.499,2.8493825,3.567,8049.0,16.3869,2005.83,1864.0,10.3157,364.411,6900.0,4.438,1.77
0,284.688908,-41.242483,24.978,-71.79,0.540933,1.674337,257.347459,2.28501,,,9.7345,133.171,5525.0,4.25342,1.21935
1,38.120968,-78.023683,107.847,30.732,4.1150576,1.08,487.0,2.30057,77.3573,826.0,9.478,82.1733,5394.0,4.50942,0.89
1,296.003935,-47.56203,-3.457,-100.891,6.4438657,1.9309449,1121.9512275,2.460344,60.831305,712.2812841,10.0059,68.0726,4803.0,4.52079,0.737189
1,296.003935,-47.56203,-3.457,-100.891,12.2265595,2.1904379,1206.3693293,2.6014766,25.8970378,575.3502049,10.0059,68.0726,4803.0,4.52079,0.737189
1,286.36675,-50.06735,7.315,-0.862,2.160344,1.828854,19357.992992,22.503541,,,13.2851,639.004,5780.0,4.32928,1.2
1,285.096517,-54.893341,3.99,-37.19,4.606184,3.121643,13793.034867,12.962219,,,11.9707,353.891,5670.0,4.3925,1.07
1,288.672005,-59.57935,3.125,6.146,3.1316735,2.4579197,14915.6943722,9.4995191,148.6544991,890.5622134,13.1686,263.609,4351.0,4.438,0.76701
1,284.399762,-49.138513,11.096,-5.764,3.180362,2.111521,21192.463324,13.446487,,,13.2887,535.383,5498.0,4.47934,0.92
1,289.479212,-32.860124,-16.778,-31.803,2.9776446,2.962,13022.0,14.4339,758.324,1461.0,10.4293,197.996,5703.0,4.25824,1.22
1,313.783239,-34.135751,26.376,-44.947,3.9502008,4.444,13914.0,20.5357,1009.38,1570.0,9.6433,211.211,6153.0,4.18077,1.71
0,289.478541,-32.861327,,,2.9776152,3.25697,43218.111683,26.88423,873.27,1386.5,15.7114,,5740.0,4.29219,1.28
1,280.184169,-58.459388,-27.094,-30.897,3.5544026,2.0550535,10164.8753396,13.200677,515.0014435,1214.9876435,11.5803,290.198,5639.0,4.37172,1.11499
0,75.627307,-72.913998,1.679,32.797,12.8379689,9.8464123,10539.0192794,25.4886382,374.129,1225.0,11.7106,703.878,5765.0,4.34773,2.4494
1,287.484402,-49.664942,3.827,4.878,3.9228016,1.8736007,31510.9004906,13.3368705,91.167589,788.0973496,13.6699,300.67,4444.0,4.438,0.6983
1,309.971209,-65.449699,-99.737,-59.95,0.6047392,1.0403847,1027.6833479,1.8625587,528.0253155,1222.5973095,11.1186,61.4592,4046.0,4.60963,0.580337
1,294.633694,-55.330269,5.382,-38.112,2.5495611,2.6173308,14921.4021936,12.9171288,757.1284067,1337.8645148,11.2474,248.46,5659.0,4.44653,1.03997
1,306.928646,-56.462287,424.414,-1230.62,0.5182425,0.8565249,831.8920424,1.3485121,255.1405815,1019.3295979,10.1165,20.373,3325.0,4.88693,0.390989
1,316.96148,-26.09672,3.479,-10.313,3.0440541,2.5984575,22236.0165376,12.1086799,315.9871326,1075.3184542,13.163,421.855,5523.0,4.52192,0.809868
1,268.890707,-61.7474,1.031,-17.577,1.3484961,2.4074261,18463.7636682,15.8824638,2706.9606225,1839.6713042,12.2851,494.182,6346.0,4.38484,1.14759
0,238.001011,-76.49349,-5.338,-9.267,9.30992,3.464,2220.0,14.2968,215.208,1067.0,9.4142,416.25,6907.0,3.63,3.09
0,272.311383,-76.300955,-23.549,-45.079,1.15395,2.236,1550.0,5.48364,3534.3,2148.0,10.4613,240.901,6093.0,4.2,1.4
0,228.84306,-52.885989,-10.161,-5.871,4.73703,3.902,2410.0,25.7144,53821.0,4243.0,10.3918,778.127,11600.0,4.13,2.48
1,313.215475,-25.687376,1.053,-9.881,2.76676,2.6872178,14947.4387827,12.2867389,505.8840075,1209.5741229,13.2366,513.011,5346.0,4.48823,0.984866
0,242.016315,-68.588832,5.989,2.514,2.19296,4.586,4933.74,22.7769,31883.5,3722.0,10.0196,566.502,7009.8,3.6,2.95
0,217.022882,-64.634285,-49.039,-21.072,1.1923,3.119,3730.0,30.666,40771.2,3958.0,9.0039,209.919,6534.0,3.95,2.04
0,215.805264,-63.045983,-3.135,-4.442,11.47606,6.083,3050.0,,,,10.0067,1710.22,,,
0,133.826684,-73.173308,-21.883,19.084,0.9209526,1.8602735,360.8801529,5.7349089,32740.3629399,3430.7622437,10.11,490.288,6553.0,3.65,2.8908899
1,189.775859,-74.57402,-50.359,-6.874,9.188506,2.492,460.0,2.16591,63.4589,786.0,8.7215,79.5561,5876.0,4.48,0.98
1,189.775859,-74.57402,-50.359,-6.874,13.9028391,2.1264429,647.2701039,2.6136848,77.4841883,756.6987586,8.7215,79.5561,5876.0,4.48,0.983215
1,192.589285,-88.121111,-18.776,-18.086,10.1826983,2.8275109,667.4752458,3.0538057,198.394783,957.1991659,8.7581,105.096,6153.0,4.34814,1.14582
1,328.718171,-77.338802,224.864,-186.625,6.441006,1.812,914.0,2.56374,87.8902,853.0,7.3661,23.606,4867.0,4.438,0.8
1,5.618525,-59.942589,-22.309,-4.893,3.1743504,2.751086,15457.3247576,14.9172256,718.9096994,1320.6518234,11.6714,342.14,5943.0,4.42524,1.15706
0,9.126138,-83.567067,-0.23,1.169,20.0731588,3.8449215,1152.9645461,4.0506906,69.3993155,736.1368293,10.5135,205.43,6033.0,4.37,1.14849
0,319.551469,-77.529113,16.363,-5.515,2.66903,1.548,3110.0,9.36823,429.86,1268.0,10.5891,262.794,5803.5,4.07,1.56
0,263.003209,-76.858265,-33.273,-100.013,6.63371,2.122,1555.34,2.75375,22.9987,610.0,10.5652,58.0624,4138.1,4.54,0.63
0,279.721286,-85.709137,147.495,-42.057,341.2811281,6.303026,972.5797241,4.7531892,121.1597998,846.173434,7.5622,70.0154,6058.6,4.2,1.39203
1,155.607863,-82.218869,9.065,2.896,4.0782392,4.8475616,6046.6959687,13.898174,1619.0081232,1617.8267296,10.0068,281.314,6501.0,4.08,1.74836
0,274.221618,-68.197779,6.355,-13.85,7.14386,1.467,11146.4,22.1531,,,9.941,417.08,7860.0,4.15,1.91
0,30.198486,-77.610376,58.003,-33.25,7.04083,2.979,1580.0,8.46404,852.336,1505.0,9.7906,102.238,5317.0,4.49,0.91
1,0.774487,-62.469317,2.894,4.911,2.1061569,1.4688934,12142.2238514,13.086872,691.8428073,1308.0417533,13.183,508.842,5380.0,4.4337,0.940697
0,286.791829,-58.697242,3.879,-6.843,2.4545635,2.321,4248.0,11.1276,2162.73,1899.0,9.6789,243.838,6610.0,4.15,1.64
0,291.373783,-60.941042,15.517,-8.387,11.4756978,0.808,8341.0,14.1098,11.4585,512.0,9.3871,312.461,7262.0,4.0,2.13
0,163.628917,-87.269735,-5.215,-8.358,2.78186,2.456,490.0,4.92567,1323.21,1680.0,9.5162,292.085,6819.0,3.92,2.21
0,328.710839,-77.337433,247.896,-157.626,6.4410082,1.798,7076.0,4.59203,8.2114,471.0,9.66865,23.8853,3469.0,4.71,0.53
0,277.432937,-44.625506,-0.54,-5.003,4.13812,3.911,5560.0,,613.964,1386.0,10.5084,,4898.4,,
1,55.933639,-65.19378,21.126,16.543,2.4997996,2.865171,14621.2059647,13.8516093,907.8624196,1399.9894384,11.6035,302.448,5650.0,4.28867,1.13732
0,293.389272,-45.892667,11.184,3.978,1.66226,3.321,6030.0,13.3343,7149.89,2561.0,10.4063,386.323,7301.0,4.23,1.64
0,269.648642,-46.065523,2.307,-2.24,4.07611,2.062,1454.18,,,,11.0605,338.644,,,
0,281.369481,-52.262928,4.1,-24.9,3.6245513,3.042,1299.0,4.3503,919.571,,10.2934,249.826,6317.0,,1.38
0,279.062469,-43.620606,6.138,10.755,1.6268695,3.231,1502.0,2.36498,1946.23,1850.0,10.3579,97.8115,5034.0,4.64,0.73
0,292.195297,-36.00026,1.909,-0.117,2.32439,4.453,2704.18,,68217.5,4502.0,7.3163,177.741,8268.5,3.93,
0,289.761799,-43.074223,17.105,-55.58,13.5499,1.795,1180.0,6.24633,31.6652,660.0,9.7298,222.529,6209.0,4.09,1.63
0,284.157959,-29.398357,17.883,-14.764,4.43651,3.365,1520.0,19.9664,8233.41,2653.0,8.7823,247.414,7101.9,3.91,2.32
1,332.714337,-30.749719,-0.71,-14.516,3.372877,2.63426,17163.60419,14.201803,615.165921,1270.187448,12.1893,448.637,6050.0,4.45061,1.02
1,286.376004,-41.43764,12.538,-27.18,8.34998,1.836,16680.0,11.1424,19.9348,588.0,10.1429,58.2609,4236.0,4.52,0.74
1,286.376004,-41.43764,12.538,-27.18,4.0686405,1.8373729,2650.0950013,3.7548333,84.108766,772.378302,10.1429,58.2609,4236.0,4.52,0.741921
0,298.781281,54.781445,-7.484,-20.775,1.5502952,2.938,411.0,3.34528,10796.6,2839.0,9.2293,286.668,7851.0,4.17,1.86
0,294.824079,31.958037,-5.049,-28.421,1.80709,3.297,450.0,4.86242,7233.01,2569.0,9.11458,233.369,6244.0,3.84,2.2
0,290.02096,36.637774,21.767,15.98,18.6922101,7.765,11126.0,18.1458,282.175,1141.0,9.03609,170.732,6277.0,4.09,1.65
1,193.39637,85.129495,16.883,5.076,8.0277326,4.284,5705.0,9.06883,248.619,1106.0,9.02855,114.048,5962.7,4.38,1.15
1,192.184898,64.855276,0.937,-10.171,12.5187279,5.38,2320.0,5.58857,626.362,1393.0,8.9361,84.5362,5729.0,4.47,0.98
1,192.184898,64.855276,0.937,-10.171,6.2586065,3.201,813.0,2.51593,232.392,1087.0,8.9361,84.5362,5729.0,4.47,0.98
1,192.184898,64.855276,0.937,-10.171,26.3208756,4.414,800.0,2.71349,26.4328,631.0,8.9361,84.5362,5729.0,4.47,0.98
1,192.184898,64.855276,0.937,-10.171,18.795547,4.3425576,470.6731965,2.1597669,48.477077,672.9826313,8.9361,84.5362,5729.0,4.47,0.977727
0,291.463084,25.189437,1.467,-4.587,0.64971,2.076,620.0,6.23181,83182.0,4731.0,8.90601,395.12,9994.0,4.02,2.59
1,63.374706,-69.226593,63.134,53.433,3.2887898,3.4367717,7005.7247902,10.5135877,759.3373533,1338.8392647,10.6103,216.526,5800.0,4.28004,1.24175
0,264.961539,56.078974,-4.979,13.371,13.7431084,2.285,5688.0,12.05,84.3234,844.0,8.88797,121.182,5941.5,,1.34
0,247.534722,80.307766,-18.335,66.536,16.9487087,4.2887767,156467.5479643,45.2204505,78.263287,758.5937679,8.8523,97.3391,5894.7,4.37,1.1179
0,290.708965,56.615386,6.716,-14.218,3.3686634,3.012,3288.0,42.2321,9856.24,2775.0,8.64028,299.294,7518.0,3.82,2.68
0,182.538652,77.352264,-36.299,4.191,11.2071839,4.366,3276.0,17.4989,813.063,1487.0,8.63287,191.984,6152.0,3.84,2.24
1,297.710176,48.081864,125.984,232.988,4.8878037,2.184,4279.0,5.29152,71.6805,810.0,8.5077,37.7647,4757.3,4.56,0.76
0,291.92142,36.529898,6.892,6.137,2.97164,1.534,7350.0,,3089.18,2076.0,8.5011,438.395,8562.5,,
0,292.286802,30.297329,2.072,-1.714,0.660179,1.6349369,473.0939303,6.1672487,252487.7638842,5717.1532477,8.40386,411.307,8598.7,4.1,2.62432
0,266.962207,83.428826,0.631,34.935,10.9278415,2.468,2743.0,49.1695,270.142,1129.0,8.36544,218.258,6259.0,3.59,2.92
1,161.909027,71.655727,-56.184,-34.808,5.5514888,4.335,9493.0,15.8043,802.858,1482.0,7.9179,96.5173,6403.9,4.16,1.55
1,6.70264,-56.316102,21.46,7.316,4.7423709,2.4988145,12650.8110411,10.5505922,209.7699043,970.6340996,13.0417,453.808,5377.0,4.42476,0.877585
1,307.8599,39.938916,16.728,21.478,1.4810903,4.1588291,6788.5145388,20.3402421,33326.7304874,3446.0210572,7.58204,204.455,9435.0,4.11,2.28773
1,294.661413,31.2192,3.096,-6.157,3.4741012,3.317,15748.0,21.2912,3453.07,2084.3330866,7.55216,136.426,8894.8,4.38,1.62
0,283.489697,37.380825,-15.686,43.795,6.5011911,5.5463587,4501.3454064,,214.9638584,976.5873888,8.0348,105.334,5485.0,,
0,309.275852,32.471019,,,1.32003,3.175,552.468,,,,9.711,,,,
0,300.419309,26.971662,-1.163,-2.205,1.6865822,2.429,1770.0,,,,9.7032,6079.49,,,
0,144.341393,68.458705,-13.626,10.98,13.0727479,3.044,4080.0,35.7944,221.343,1074.0,9.6043,432.113,5709.8,3.37,3.59
0,293.427359,29.596296,5.169,-0.368,2.9258727,4.075,6720.0,24.4055,3028.51,2066.0,9.5967,,4884.5,,1.3
0,282.42081,48.098942,4.164,-0.766,0.73774,0.636,524.852,5.28215,,,9.5937,292.83,6449.5,3.94,2.1
1,357.846434,-70.152862,96.185,-1.747,2.7985802,2.3801043,16708.7151957,11.9514993,332.556249,1089.1458169,11.0443,149.942,4920.0,4.49371,0.906655
0,301.317709,30.67067,-3.195,-6.194,2.3664127,2.591,300.0,,,,9.577,2320.13,,,
1,286.971388,46.868246,-4.401,-15.78,1.7635881,3.092,6650.0,,7685.79,2608.0,10.2306,519.096,7986.1,,
0,307.336613,37.508561,2.318,-4.536,3.2077145,2.708,9640.0,,,,9.329701,827.868,,,
1,232.146641,66.35871,0.434,-12.217,2.2552845,2.05,20820.0,14.688,549.715,1348.0,9.76703,126.261,5787.0,4.5,0.96
0,293.764981,37.53859,-2.77,-79.214,1.8824539,2.46,1391.0,8.29008,15173.2,3091.0,9.7604,153.743,5900.4,4.39,1.13
0,198.152378,71.618139,-61.39,2.78,15.196,1.792,1970.0,4.96345,,,10.3874,209.618,5807.0,,1.14
0,301.710466,38.431023,8.657,-3.67,2.1358631,1.559,10325.0,23.6019,1540.95,1745.0,10.381,274.162,5969.0,4.17,1.5
1,15.006077,-58.904724,22.522,7.594,3.5862962,3.3710943,5729.3246858,16.4747611,1787.5955937,1658.3915202,11.7806,603.955,5704.8,3.84,2.00441
0,300.805115,52.040842,-5.735,-5.495,1.8296155,2.166,1406.0,29.3616,32867.0,3751.0,10.349,880.107,7875.0,3.61,3.5
0,299.273862,35.988359,3.425,0.583,11.1876137,3.183,4924.0,31.8624,838.609,1499.0,10.3075,482.763,7266.0,4.06,2.05
0,282.474539,55.26639,0.76,-8.188,7.8513949,6.835,22029.0,,,,10.3018,875.061,,,
1,197.683097,70.768012,57.651,-92.555,7.0643978,2.424,8268.0,9.39131,104.311,890.0,10.2938,132.353,5429.6,4.44,0.96
1,209.217175,68.618211,-81.077,45.498,8.9534775,2.696,1136.0,2.35888,45.5604,723.0,10.2549,94.6375,5029.5,4.61,0.76
0,289.238688,31.323574,-9.775,-45.409,7.5022708,2.605,1760.0,5.55812,129.866,940.0,10.2026,216.517,6229.0,4.31,1.27
0,297.30004,41.326844,1.815,0.92,1.692892,2.886,1418.0,11.2371,187927.0,5800.0,10.1617,602.899,9121.5,4.21,2.1
0,279.101036,55.391781,184.868,-42.647,2.6652007,3.49,819.0,2.35964,2905.35,2045.0,10.1358,36.7224,4043.4,4.69,0.56
1,349.559266,-56.903986,313.918,-20.177,6.0344667,1.89,1800.0,4.44029,64.2648,788.0,9.179,94.1719,5586.0,4.36763,1.05
1,214.555774,82.193764,84.408,-64.898,9.6867516,2.512,1669.0,3.00336,41.6645,707.0,10.112,72.0238,4738.1,4.59,0.73
1,297.215817,64.354351,-5.676,0.188,2.1031647,5.059,7142.0,16.7087,14140.0,3037.0,10.079,302.819,6122.0,3.93,1.93
0,201.614657,65.306346,-21.314,18.923,7.6416041,2.654,6025.0,27.538,478.683,1303.0,10.0049,,6496.7,,2.05
0,286.74712,71.712377,-20.36,17.32,5.9294088,2.933,10226.0,10.8101,456.893,,9.9478,112.868,5095.6,,1.06
1,272.20452,60.678785,64.887,138.082,5.7484439,1.76,1041.0,2.35215,75.272,820.0,9.9469,58.5946,4534.0,4.61,0.69
0,297.459433,34.829667,19.777,11.228,1.1967018,1.879,824.0,10.3239,25917.9,3534.0,9.94025,246.798,5997.0,4.0,1.73
0,251.633465,65.715035,-23.07,31.142,11.2464616,7.391,7576.0,17.6677,365.938,1218.0,9.92402,294.85,6115.7,3.89,2.01
0,306.730853,38.93227,6.103,2.194,8.5112,3.486,4172.76,,,,9.886581,347.452,8156.0,4.35,
0,283.526697,37.720014,1.209,-2.212,15.7335693,3.288,2540.0,24.3218,367.588,1219.0,9.7831,355.809,6800.0,3.91,2.21
0,301.41088,33.049205,7.326,-5.412,2.2219839,1.996,4394.0,15.4416,7790.56,,10.4813,501.963,7166.8,,1.87
1,167.821481,69.964775,79.486,15.428,2.3106428,1.294,6911.0,8.76741,203.685,1052.0,10.4782,149.667,5339.9,4.41,0.99
0,291.12047,33.273702,-7.067,-2.648,4.05135,2.4,1132.23,14.2359,,,10.4717,500.014,4974.4,,3.85
1,304.800032,32.581045,2.239,-0.113,3.612771,4.142,11794.0,19.3662,5011.92,2344.0,10.4219,470.878,8324.0,4.28,1.71
